IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
103.201.130.155,47290,443,TRUE,NRT,Asia Pacific,Tokyo,105,0.83
141.98.197.101,11665,443,TRUE,SIN,Asia Pacific,Singapore,114,0.8
43.239.249.49,14276,443,TRUE,NRT,Asia Pacific,Tokyo,111,0.75
193.32.150.65,16870,443,TRUE,SIN,Asia Pacific,Singapore,110,0.74
147.78.244.151,34847,443,TRUE,HKG,Asia Pacific,Hong Kong,108,0.66
45.66.128.148,35963,443,TRUE,SIN,Asia Pacific,Singapore,105,0.61
45.142.166.79,34237,2096,TRUE,NRT,Asia Pacific,Tokyo,110,0.53
147.78.244.76,34237,2096,TRUE,NRT,Asia Pacific,Tokyo,110,0.52
195.245.241.30,12345,443,TRUE,NRT,Asia Pacific,Tokyo,103,0.5
45.66.128.148,51361,443,TRUE,NRT,Asia Pacific,Tokyo,102,0.42
176.119.148.109,23656,443,TRUE,HKG,Asia Pacific,Hong Kong,111,0.4
141.98.197.103,55271,443,TRUE,NRT,Asia Pacific,Tokyo,108,0.39
176.126.114.224,11001,443,TRUE,NRT,Asia Pacific,Tokyo,109,0.39
45.66.128.148,50053,443,TRUE,NRT,Asia Pacific,Tokyo,107,0.38
195.245.241.138,46587,443,TRUE,HKG,Asia Pacific,Hong Kong,108,0.37
193.32.149.196,17809,80,FALSE,HKG,Asia Pacific,Hong Kong,106,0.36
62.106.70.181,10006,443,TRUE,NRT,Asia Pacific,Tokyo,112,0.34
45.66.129.42,11015,443,TRUE,NRT,Asia Pacific,Tokyo,113,0.33
45.142.166.55,22387,80,FALSE,HKG,Asia Pacific,Hong Kong,119,0.32
195.245.241.30,10000,443,TRUE,TPE,Asia Pacific,Taipei,103,0.31
195.245.241.30,12222,443,TRUE,NRT,Asia Pacific,Tokyo,111,0.3
193.32.150.41,22363,443,TRUE,NRT,Asia Pacific,Tokyo,110,0.29
147.78.247.171,30326,443,TRUE,HKG,Asia Pacific,Hong Kong,110,0.27
103.201.130.51,5205,443,TRUE,SIN,Asia Pacific,Singapore,106,0.27
195.245.242.232,53942,8443,TRUE,HKG,Asia Pacific,Hong Kong,107,0.24
45.143.235.42,8443,443,TRUE,NRT,Asia Pacific,Tokyo,103,0.23
185.184.223.19,59775,443,TRUE,NRT,Asia Pacific,Tokyo,109,0.22
45.66.128.216,2003,2053,TRUE,HKG,Asia Pacific,Hong Kong,131,0.22
45.66.216.109,6162,443,TRUE,SIN,Asia Pacific,Singapore,112,0.2
45.143.235.42,2053,443,TRUE,NRT,Asia Pacific,Tokyo,106,0.15
45.66.131.214,25462,0,TRUE,NRT,Asia Pacific,Tokyo,170,0.13
62.106.70.27,46918,443,TRUE,NRT,Asia Pacific,Tokyo,112,0.11
147.78.246.86,53443,443,TRUE,NRT,Asia Pacific,Tokyo,119,0.04
195.245.241.123,26876,443,TRUE,HKG,Asia Pacific,Hong Kong,111,0
88.214.22.200,34237,2096,TRUE,NRT,Asia Pacific,Tokyo,121,0
45.66.128.148,47998,443,TRUE,NRT,Asia Pacific,Tokyo,105,0
195.245.242.51,34237,0,TRUE,NRT,Asia Pacific,Tokyo,96,0
176.126.114.97,443,443,TRUE,SIN,Asia Pacific,Singapore,111,0
103.117.101.24,30809,80,FALSE,HKG,Asia Pacific,Hong Kong,78,0.76
154.3.37.27,9004,443,TRUE,SIN,Asia Pacific,Singapore,78,0.53
154.21.81.31,8443,443,TRUE,LAX,North America,Los Angeles,184,0.52
154.12.191.87,30810,80,FALSE,HKG,Asia Pacific,Hong Kong,104,0.52
154.12.191.87,10809,80,FALSE,SIN,Asia Pacific,Singapore,104,0.46
154.17.6.131,12814,443,TRUE,LAX,North America,Los Angeles,177,0.26
154.17.31.217,37976,443,TRUE,LAX,North America,Los Angeles,182,0.25
154.17.29.80,50235,443,TRUE,LAX,North America,Los Angeles,189,0.16
154.21.84.33,21088,443,TRUE,LAX,North America,Los Angeles,180,0.12
154.12.191.87,41809,80,FALSE,SIN,Asia Pacific,Singapore,81,0.01
65.75.192.24,45117,443,TRUE,SJC,North America,San Jose,272,0
154.17.17.205,8443,443,TRUE,LAX,North America,Los Angeles,181,0
154.17.4.191,35378,443,TRUE,LAX,North America,Los Angeles,181,0
65.75.195.188,48389,443,TRUE,SJC,North America,San Jose,263,0
202.86.138.58,50000,443,TRUE,MFM,Asia Pacific,Macau,86,1.92
27.109.170.8,16904,443,TRUE,HKG,Asia Pacific,Hong Kong,90,0.57
27.109.170.8,24076,443,TRUE,MFM,Asia Pacific,Macau,87,0.35
27.109.170.8,28362,443,TRUE,MFM,Asia Pacific,Macau,87,0.33
27.109.170.8,31229,443,TRUE,MFM,Asia Pacific,Macau,87,0.22
27.109.170.8,12194,443,TRUE,MFM,Asia Pacific,Macau,87,0.19
111.118.43.151,19086,443,TRUE,ICN,Asia Pacific,Seoul,125,1.09
59.187.242.236,14810,443,TRUE,ICN,Asia Pacific,Seoul,146,1.05
59.187.242.236,19948,443,TRUE,ICN,Asia Pacific,Seoul,145,0.54
39.126.124.220,16316,443,TRUE,ICN,Asia Pacific,Seoul,135,0.39
59.187.242.236,14661,443,TRUE,ICN,Asia Pacific,Seoul,148,0.33
59.187.242.236,11889,443,TRUE,ICN,Asia Pacific,Seoul,149,0.29
59.187.254.31,24126,443,TRUE,ICN,Asia Pacific,Seoul,120,0.26
59.187.254.31,20106,443,TRUE,ICN,Asia Pacific,Seoul,130,0.21
59.187.242.236,37986,443,TRUE,ICN,Asia Pacific,Seoul,148,0.19
59.187.254.31,11505,443,TRUE,ICN,Asia Pacific,Seoul,120,0.19
59.187.254.31,25642,443,TRUE,ICN,Asia Pacific,Seoul,143,0.18
59.187.254.31,39377,443,TRUE,ICN,Asia Pacific,Seoul,125,0.15
59.187.242.236,10269,443,TRUE,ICN,Asia Pacific,Seoul,147,0.12
59.187.254.31,13972,443,TRUE,ICN,Asia Pacific,Seoul,129,0.11
59.187.254.31,10460,443,TRUE,ICN,Asia Pacific,Seoul,129,0.05
111.118.43.151,12866,443,TRUE,ICN,Asia Pacific,Seoul,117,0.01
27.35.13.136,12464,443,TRUE,ICN,Asia Pacific,Seoul,102,0
49.142.66.75,29528,443,TRUE,ICN,Asia Pacific,Seoul,199,0
59.187.242.236,10653,443,TRUE,ICN,Asia Pacific,Seoul,159,0
39.126.160.150,29493,0,TRUE,ICN,Asia Pacific,Seoul,327,0
111.118.43.151,35519,443,TRUE,ICN,Asia Pacific,Seoul,114,0
59.187.242.236,22557,443,TRUE,ICN,Asia Pacific,Seoul,147,0
49.142.75.128,25160,0,TRUE,ICN,Asia Pacific,Seoul,105,0
59.187.242.236,14402,443,TRUE,ICN,Asia Pacific,Seoul,145,0
59.187.242.236,35087,443,TRUE,ICN,Asia Pacific,Seoul,147,0
40.66.63.160,80,80,FALSE,CDG,Europe,Paris,275,4.16
20.191.143.72,443,443,TRUE,SIN,Asia Pacific,Singapore,114,2.74
20.27.111.153,443,443,TRUE,KIX,Asia Pacific,Osaka,97,1.4
20.203.59.95,2053,443,TRUE,BOM,Asia Pacific,Mumbai,192,1.24
52.230.92.86,443,443,TRUE,SIN,Asia Pacific,Singapore,139,0.74
20.214.204.10,8443,443,TRUE,ICN,Asia Pacific,Seoul,143,0.59
51.116.127.112,8443,443,TRUE,FRA,Europe,Frankfurt,297,0.57
20.90.163.76,2053,443,TRUE,LHR,Europe,London,286,0.51
20.250.70.204,2083,443,TRUE,MXP,Europe,Milan,254,0.47
20.14.98.47,443,443,TRUE,LAX,North America,Los Angeles,189,0.35
4.185.146.233,443,443,TRUE,FRA,Europe,Frankfurt,296,0.34
51.107.6.231,8443,443,TRUE,MXP,Europe,Milan,295,0.29
4.161.41.91,8443,443,TRUE,BOM,Asia Pacific,Mumbai,223,0.28
20.174.56.54,8443,443,TRUE,BOM,Asia Pacific,Mumbai,223,0.14
20.218.152.22,2053,443,TRUE,FRA,Europe,Frankfurt,261,0.14
20.218.152.22,8443,443,TRUE,FRA,Europe,Frankfurt,258,0.12
51.140.44.206,2086,2086,FALSE,LHR,Europe,London,296,0.11
20.33.24.82,2087,443,TRUE,LHR,Europe,London,297,0.1
20.235.105.146,443,443,TRUE,BOM,Asia Pacific,Mumbai,165,0.09
52.151.81.2,2083,443,TRUE,LHR,Europe,London,296,0.09
20.244.84.91,2053,443,TRUE,BOM,Asia Pacific,Mumbai,163,0.07
20.244.84.91,8443,443,TRUE,BOM,Asia Pacific,Mumbai,163,0.06
20.249.83.244,8443,443,TRUE,ICN,Asia Pacific,Seoul,142,0.05
20.246.144.214,443,443,TRUE,IAD,North America,Ashburn,295,0.04
20.220.204.217,443,443,TRUE,YYZ,North America,Toronto,280,0.04
13.87.92.42,443,443,TRUE,LHR,Europe,London,268,0.03
20.204.43.57,80,443,FALSE,BOM,Asia Pacific,Mumbai,164,0.02
20.157.97.105,80,80,FALSE,AMS,Europe,Amsterdam,306,0.02
20.93.17.174,443,443,TRUE,DUB,Europe,Dublin,298,0.02
51.140.154.44,2086,2086,FALSE,LHR,Europe,London,296,0.01
168.138.185.28,8880,8880,FALSE,SIN,Asia Pacific,Singapore,215,0.54
168.138.185.28,2086,2086,FALSE,SIN,Asia Pacific,Singapore,220,0.49
158.178.246.169,2082,2082,FALSE,SIN,Asia Pacific,Singapore,221,0.41
168.138.185.28,80,80,FALSE,SIN,Asia Pacific,Singapore,213,0.39
138.2.104.2,2086,2086,FALSE,SIN,Asia Pacific,Singapore,210,0.39
138.2.104.2,2095,2095,FALSE,SIN,Asia Pacific,Singapore,216,0.38
158.178.246.169,2086,2086,FALSE,SIN,Asia Pacific,Singapore,208,0.37
168.138.185.28,8443,8443,TRUE,SIN,Asia Pacific,Singapore,221,0.35
152.69.215.14,2083,2083,TRUE,SIN,Asia Pacific,Singapore,217,0.34
168.138.185.28,2095,2095,FALSE,SIN,Asia Pacific,Singapore,218,0.33
158.178.246.169,2083,2083,TRUE,SIN,Asia Pacific,Singapore,214,0.3
158.178.246.169,8880,8880,FALSE,SIN,Asia Pacific,Singapore,204,0.29
168.138.185.28,2096,2096,TRUE,SIN,Asia Pacific,Singapore,204,0.29
138.2.104.2,2082,2082,FALSE,SIN,Asia Pacific,Singapore,209,0.29
168.138.185.28,2087,2087,TRUE,SIN,Asia Pacific,Singapore,222,0.28
138.2.104.2,2052,2052,FALSE,SIN,Asia Pacific,Singapore,215,0.22
138.2.104.2,80,80,FALSE,SIN,Asia Pacific,Singapore,212,0.21
138.2.104.2,2083,2083,TRUE,SIN,Asia Pacific,Singapore,181,0.2
131.186.44.38,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,340,0.02
138.2.6.15,2052,2052,FALSE,SIN,Asia Pacific,Singapore,347,0.02
158.179.191.14,2082,0,FALSE,NRT,Asia Pacific,Tokyo,284,0
158.179.188.175,2082,0,FALSE,NRT,Asia Pacific,Tokyo,297,0
151.145.69.174,8080,8080,FALSE,KIX,Asia Pacific,Osaka,292,0
131.186.63.35,2086,2086,FALSE,SIN,Asia Pacific,Singapore,356,0
158.179.176.239,2086,2086,FALSE,SIN,Asia Pacific,Singapore,368,0
131.186.34.11,2052,0,FALSE,SIN,Asia Pacific,Singapore,372,0
151.145.74.56,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,360,0
158.178.242.5,8443,0,TRUE,SIN,Asia Pacific,Singapore,198,0
131.186.63.35,2082,2082,FALSE,SIN,Asia Pacific,Singapore,360,0
131.186.63.184,8880,8880,FALSE,SIN,Asia Pacific,Singapore,361,0
151.145.70.28,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,442,0
158.179.176.239,8080,0,FALSE,SIN,Asia Pacific,Singapore,368,0
158.179.189.235,8080,0,FALSE,NRT,Asia Pacific,Tokyo,290,0
131.186.45.88,2082,0,FALSE,HKG,Asia Pacific,Hong Kong,341,0
158.179.190.253,8080,8080,FALSE,SIN,Asia Pacific,Singapore,355,0
151.145.65.203,2086,2086,FALSE,SIN,Asia Pacific,Singapore,357,0
158.179.178.145,80,80,FALSE,NRT,Asia Pacific,Tokyo,292,0
158.178.246.169,2096,2096,TRUE,SIN,Asia Pacific,Singapore,215,0
213.35.98.197,2087,0,TRUE,SIN,Asia Pacific,Singapore,202,0
131.186.63.184,80,80,FALSE,SIN,Asia Pacific,Singapore,364,0
23.94.211.237,8443,443,TRUE,SEA,North America,Seattle,344,1.07
23.95.247.64,443,443,TRUE,SJC,North America,San Jose,336,0.44
104.168.102.135,20083,443,TRUE,SJC,North America,San Jose,331,0.42
23.94.208.154,53485,443,TRUE,SJC,North America,San Jose,346,0.42
23.94.255.35,51382,443,TRUE,SJC,North America,San Jose,330,0.42
172.245.108.226,24059,443,TRUE,SEA,North America,Seattle,353,0.35
104.168.28.207,34237,2096,TRUE,SJC,North America,San Jose,328,0.34
107.172.83.251,34237,2096,TRUE,SJC,North America,San Jose,324,0.34
23.94.208.167,2053,443,TRUE,SJC,North America,San Jose,334,0.32
23.95.61.179,15160,443,TRUE,SJC,North America,San Jose,328,0.32
192.3.84.165,34058,443,TRUE,SJC,North America,San Jose,339,0.31
23.94.100.187,34237,2096,TRUE,SJC,North America,San Jose,342,0.3
192.3.150.56,8000,443,TRUE,SEA,North America,Seattle,342,0.28
23.95.215.153,56360,443,TRUE,SJC,North America,San Jose,339,0.27
107.174.90.29,21773,443,TRUE,SJC,North America,San Jose,346,0.26
192.210.202.25,34237,2096,TRUE,SJC,North America,San Jose,346,0.23
104.168.88.213,34237,2096,TRUE,SJC,North America,San Jose,336,0.22
23.94.98.221,57632,443,TRUE,SJC,North America,San Jose,341,0.22
104.168.43.27,54063,443,TRUE,SJC,North America,San Jose,346,0.22
23.94.25.168,443,443,TRUE,SJC,North America,San Jose,338,0.21
104.168.28.192,34237,2096,TRUE,SJC,North America,San Jose,336,0.2
104.168.94.30,15469,443,TRUE,SJC,North America,San Jose,331,0.2
104.168.87.209,443,443,TRUE,SJC,North America,San Jose,335,0.2
104.168.94.108,34237,2096,TRUE,SJC,North America,San Jose,334,0.18
107.174.240.211,34237,2096,TRUE,SEA,North America,Seattle,341,0.18
23.94.240.119,443,443,TRUE,SJC,North America,San Jose,336,0.18
107.172.82.116,45206,443,TRUE,SJC,North America,San Jose,349,0.18
108.174.57.119,34237,2096,TRUE,EWR,North America,Newark,363,0.14
107.174.180.236,34237,2096,TRUE,SJC,North America,San Jose,341,0.13
23.94.211.237,2053,443,TRUE,SEA,North America,Seattle,352,0.11
107.174.181.152,34237,2096,TRUE,SJC,North America,San Jose,352,0.11
108.174.60.187,18813,443,TRUE,ATL,North America,Atlanta,348,0.08
206.217.131.92,26845,443,TRUE,ORD,North America,Chicago,264,0.08
107.174.242.151,34561,443,TRUE,SEA,North America,Seattle,351,0.08
23.94.212.137,15724,443,TRUE,SEA,North America,Seattle,346,0.07
107.174.180.67,17777,80,FALSE,SJC,North America,San Jose,337,0.02
108.174.50.200,2083,443,TRUE,ORD,North America,Chicago,262,0.01
107.172.196.218,34237,2096,TRUE,EWR,North America,Newark,355,0.01
108.174.57.189,34237,2096,TRUE,EWR,North America,Newark,324,0
23.95.235.137,443,443,TRUE,EWR,North America,Newark,338,0
23.247.139.48,30809,80,FALSE,HKG,Asia Pacific,Hong Kong,75,3.03
23.225.133.85,41698,80,FALSE,HKG,Asia Pacific,Hong Kong,152,0.13
192.151.255.3,41698,80,FALSE,HKG,Asia Pacific,Hong Kong,151,0.12
23.225.133.83,41698,80,FALSE,HKG,Asia Pacific,Hong Kong,158,0.12
23.225.133.69,41698,80,FALSE,HKG,Asia Pacific,Hong Kong,152,0.11
23.225.133.72,41698,80,FALSE,HKG,Asia Pacific,Hong Kong,151,0.09
192.151.255.27,41698,80,FALSE,HKG,Asia Pacific,Hong Kong,154,0.09
23.225.133.90,41698,80,FALSE,HKG,Asia Pacific,Hong Kong,153,0.08
192.151.255.25,41698,80,FALSE,HKG,Asia Pacific,Hong Kong,154,0.08
192.151.255.0,41698,80,FALSE,HKG,Asia Pacific,Hong Kong,155,0.08
23.225.133.68,41698,80,FALSE,HKG,Asia Pacific,Hong Kong,150,0.07
23.225.133.78,41698,80,FALSE,HKG,Asia Pacific,Hong Kong,153,0.07
192.151.255.4,41698,80,FALSE,HKG,Asia Pacific,Hong Kong,152,0.07
192.151.255.16,41698,80,FALSE,HKG,Asia Pacific,Hong Kong,153,0.06
23.225.133.71,41698,443,TRUE,HKG,Asia Pacific,Hong Kong,155,0.05
192.151.255.24,41698,80,FALSE,HKG,Asia Pacific,Hong Kong,152,0.04
23.225.133.76,41698,443,TRUE,HKG,Asia Pacific,Hong Kong,152,0.04
23.225.133.89,41698,443,TRUE,HKG,Asia Pacific,Hong Kong,152,0.03
23.225.133.91,41698,443,TRUE,HKG,Asia Pacific,Hong Kong,154,0.03
23.225.133.81,41698,443,TRUE,HKG,Asia Pacific,Hong Kong,145,0.01
192.151.255.12,41698,443,TRUE,HKG,Asia Pacific,Hong Kong,154,0
47.245.6.9,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,176,2.26
47.245.6.9,80,80,FALSE,HKG,Asia Pacific,Hong Kong,168,2.15
47.245.89.102,2095,2095,FALSE,SIN,Asia Pacific,Singapore,407,0.24
47.245.89.102,2053,2053,TRUE,SIN,Asia Pacific,Singapore,413,0.22
47.245.84.155,2086,2086,FALSE,SIN,Asia Pacific,Singapore,412,0.2
47.245.107.174,2052,2052,FALSE,SIN,Asia Pacific,Singapore,408,0.19
47.245.84.155,80,80,FALSE,SIN,Asia Pacific,Singapore,408,0.18
47.245.84.155,2095,2095,FALSE,SIN,Asia Pacific,Singapore,418,0.15
47.245.107.174,2096,2096,TRUE,SIN,Asia Pacific,Singapore,403,0.15
47.245.84.155,8880,8880,FALSE,SIN,Asia Pacific,Singapore,401,0.11
47.236.144.208,2086,2086,FALSE,SIN,Asia Pacific,Singapore,326,0.09
8.219.228.157,2086,2086,FALSE,SIN,Asia Pacific,Singapore,347,0.08
47.245.84.155,2087,2087,TRUE,SIN,Asia Pacific,Singapore,427,0.07
8.222.249.190,2052,2052,FALSE,SIN,Asia Pacific,Singapore,309,0.06
47.236.144.208,2082,2082,FALSE,SIN,Asia Pacific,Singapore,333,0.06
47.245.89.102,2082,2082,FALSE,SIN,Asia Pacific,Singapore,381,0.06
8.219.222.98,80,80,FALSE,SIN,Asia Pacific,Singapore,347,0.06
47.236.116.26,80,80,FALSE,SIN,Asia Pacific,Singapore,346,0.06
8.222.150.197,2087,2087,TRUE,SIN,Asia Pacific,Singapore,317,0.05
103.117.101.24,30810,80,FALSE,HKG,Asia Pacific,Hong Kong,74,3.05
103.137.63.37,53760,443,TRUE,TPE,Asia Pacific,Taipei,94,1.82
103.148.72.147,1443,443,TRUE,HKG,Asia Pacific,Hong Kong,99,1.31
49.51.46.56,443,443,TRUE,SJC,North America,San Jose,233,0.47
43.163.3.63,443,443,TRUE,SIN,Asia Pacific,Singapore,429,0
128.14.237.26,42930,443,TRUE,TPE,Asia Pacific,Taipei,103,1.25
101.36.113.25,52080,80,FALSE,SIN,Asia Pacific,Singapore,81,0.97
103.210.22.3,34237,2096,TRUE,HKG,Asia Pacific,Hong Kong,76,0.8
165.154.182.118,56332,443,TRUE,LAX,North America,Los Angeles,244,0.11
45.249.246.59,49454,443,TRUE,HKG,Asia Pacific,Hong Kong,75,0.11
165.154.68.98,43472,443,TRUE,HKG,Asia Pacific,Hong Kong,84,0.09
103.149.27.36,34237,2096,TRUE,HKG,Asia Pacific,Hong Kong,72,0.05
118.193.34.138,443,443,TRUE,HKG,Asia Pacific,Hong Kong,78,0.04
165.154.22.101,9005,80,FALSE,HKG,Asia Pacific,Hong Kong,78,0
159.138.139.236,13080,80,FALSE,HKG,Asia Pacific,Hong Kong,78,0.32
122.8.191.95,1998,80,FALSE,LAX,North America,Los Angeles,362,0.21
159.138.2.15,5008,80,FALSE,LHR,Europe,London,81,0.07
159.138.2.15,5010,80,FALSE,SJC,North America,San Jose,80,0.06
161.81.204.13,15213,443,TRUE,HKG,Asia Pacific,Hong Kong,84,1.35
161.81.204.13,30133,443,TRUE,HKG,Asia Pacific,Hong Kong,82,1.28
58.82.237.251,11997,443,TRUE,HKG,Asia Pacific,Hong Kong,85,0.71
161.81.204.13,23093,443,TRUE,HKG,Asia Pacific,Hong Kong,82,0.42
58.82.242.199,20500,443,TRUE,HKG,Asia Pacific,Hong Kong,79,0
38.207.179.191,33135,443,TRUE,HKG,Asia Pacific,Hong Kong,91,4.76
45.152.64.87,34237,2096,TRUE,HKG,Asia Pacific,Hong Kong,79,2.29
193.134.209.54,34237,2096,TRUE,HKG,Asia Pacific,Hong Kong,78,0.47
193.134.210.189,34237,2096,TRUE,HKG,Asia Pacific,Hong Kong,87,0.28
103.200.112.123,30809,80,FALSE,HKG,Asia Pacific,Hong Kong,80,1.32
103.200.112.123,30810,80,FALSE,HKG,Asia Pacific,Hong Kong,80,1.03
103.200.112.123,41809,80,FALSE,HKG,Asia Pacific,Hong Kong,80,1
202.139.228.24,12321,443,TRUE,HKG,Asia Pacific,Hong Kong,81,2.02
202.139.228.24,12345,443,TRUE,HKG,Asia Pacific,Hong Kong,84,1.25
34.95.126.8,80,80,FALSE,HKG,Asia Pacific,Hong Kong,78,20.04
34.92.165.193,443,443,TRUE,HKG,Asia Pacific,Hong Kong,70,6.22
34.110.227.66,80,80,FALSE,LHR,Europe,London,311,2.45
35.189.113.240,443,443,TRUE,LHR,Europe,London,288,0.72
34.65.48.167,443,443,TRUE,FRA,Europe,Frankfurt,235,0.55
34.120.58.14,80,80,FALSE,LAX,North America,Los Angeles,236,0.52
34.22.77.135,443,443,TRUE,ICN,Asia Pacific,Seoul,155,0.25
34.65.41.25,443,443,TRUE,FRA,Europe,Frankfurt,327,0.18
34.36.183.121,80,80,FALSE,HKG,Asia Pacific,Hong Kong,90,0.17
34.105.49.234,443,443,TRUE,SEA,North America,Seattle,234,0.09
35.197.23.75,443,443,TRUE,SEA,North America,Seattle,253,0.04
35.194.241.8,8080,80,FALSE,TPE,Asia Pacific,Taipei,231,0.01
